"Unnamed: 0","reward","len","score","turns","dlvl","max_hitpoints","max_energy","armor_class","experience_level","experience_points","eating_score","gold_score","scout_score","sokobanfillpit_score","staircase_pet_score","staircase_score","ttyrecname","episode_number","true_objective","maxlvl","role","race","gender","align","death"
"225","4414","29175","4416","16799","1","64","42","0","7","1099","16518","48","637","0","0","8","nle.2693392.16.ttyrec3.bz2","16","4414","1","Mon","Hum","Mal","Neu","quit"
"226","15795","50290","15795","28892","4","63","47","0","9","3810","28462","405","2308","0","0","105","nle.2693400.10.ttyrec3.bz2","10","15795","4","Mon","Hum","Mal","Neu","killed by a white unicorn"
"227","1597","21784","1597","10811","1","56","36","-4","6","393","11133","15","616","0","1","38","nle.2693390.13.ttyrec3.bz2","13","1597","1","Mon","Hum","Mal","Neu","killed by a manes while praying"
"228","14351","47100","14351","28222","5","82","46","2","9","3471","27520","2219","2439","0","1","74","nle.2693398.13.ttyrec3.bz2","13","14351","5","Mon","Hum","Mal","Neu","killed by an invisible Green-elf while frozen by a potion"
"229","2291","19509","2291","13657","1","42","36","4","6","567","13555","13","643","0","6","18","nle.2693393.17.ttyrec3.bz2","17","2291","1","Mon","Hum","Mal","Neu","killed by a bat"
"230","2092","13960","2092","11439","1","41","33","3","6","337","9968","16","713","0","0","31","nle.2693401.14.ttyrec3.bz2","14","2092","1","Mon","Hum","Mal","Neu","killed by a sewer rat while fainted from lack of food"
"231","4560","25803","4560","18346","1","47","38","1","7","1130","17633","1020","644","0","5","85","nle.2693387.12.ttyrec3.bz2","12","4560","1","Mon","Hum","Mal","Neu","poisoned by a rotted rock piercer corpse"
"232","958","13926","958","8934","1","29","18","-8","3","79","8535","16","551","0","1","9","nle.2693395.16.ttyrec3.bz2","16","958","1","Mon","Hum","Mal","Neu","killed by a giant rat while fainted from lack of food"
"233","13175","47948","13175","24576","3","66","63","0","9","3236","23778","799","2300","0","3","71","nle.2693399.13.ttyrec3.bz2","13","13175","3","Mon","Hum","Mal","Neu","poisoned by a rotted glob of gray ooze"
"234","4439","26227","4439","18347","1","56","35","1","7","1055","17364","639","559","0","0","28","nle.2693397.17.ttyrec3.bz2","17","4439","1","Mon","Hum","Mal","Neu","poisoned by a rotted hobgoblin corpse while helpless"
"235","3808","26525","3808","18549","1","67","35","5","7","952","18257","20","573","0","7","67","nle.2693400.11.ttyrec3.bz2","11","3808","1","Mon","Hum","Mal","Neu","quit"
"236","4454","26209","4454","17005","1","48","48","1","7","641","16012","94","371","0","1","17","nle.2693391.12.ttyrec3.bz2","12","4454","1","Mon","Hum","Mal","Neu","killed by a giant ant while fainted from lack of food"
"237","3858","24627","3858","17980","1","42","41","1","7","949","17959","160","542","0","9","100","nle.2693390.14.ttyrec3.bz2","14","3858","1","Mon","Hum","Mal","Neu","quit"
"238","10698","43531","10698","23836","2","75","52","0","9","2623","23684","732","1230","0","0","27","nle.2693388.15.ttyrec3.bz2","15","10698","2","Mon","Hum","Mal","Neu","killed by a bat while frozen by a monster's gaze"
"239","6886","35439","6886","22123","3","63","47","1","8","1984","20939","132","1082","0","91","225","nle.2693452.12.ttyrec3.bz2","12","6886","3","Mon","Hum","Mal","Neu","killed by a giant bat while fainted from lack of food"
"240","367","4358","367","2666","1","35","13","3","4","90","2263","7","444","0","0","9","nle.2693390.15.ttyrec3.bz2","15","367","1","Mon","Hum","Mal","Neu","quit"
"241","10128","36139","10128","24599","5","62","42","1","8","2462","24338","70","1984","0","33","86","nle.2693394.18.ttyrec3.bz2","18","10128","5","Mon","Hum","Mal","Neu","killed by a white unicorn"
"242","14192","43329","14192","26361","6","78","53","5","9","3409","26475","1690","3419","0","2","118","nle.2693396.11.ttyrec3.bz2","11","14192","6","Mon","Hum","Mal","Neu","killed by a fire ant while frozen by a potion"
"243","7177","38978","7177","26818","1","60","37","3","8","1296","24236","1369","530","0","2","15","nle.2693392.17.ttyrec3.bz2","17","7177","1","Mon","Hum","Mal","Neu","killed by a giant ant while fainted from lack of food"
"244","1179","12762","1179","8122","1","34","21","3","5","288","8103","17","428","0","4","26","nle.2693400.12.ttyrec3.bz2","12","1179","1","Mon","Hum","Mal","Neu","killed by an orcish dagger"
"245","5356","28393","5356","16885","1","66","54","2","8","1333","16239","78","469","0","0","59","nle.2693395.17.ttyrec3.bz2","17","5356","1","Mon","Hum","Mal","Neu","poisoned by a rotted hill orc corpse"
